namapemda,provinsi,pulau,tahun,jenis,level1,level2,Level2a,level3,level3a,nilai
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,411. Pajak Daerah,411. Pajak Daerah,1720373170814.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,412. Retribusi Daerah,412. Retribusi Daerah,12942611000.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,252926236000.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,41. Pendapatan Asli Daerah (PAD),41. PAD,414. Lain-lain PAD yang Sah,414. Lain-Lain PAD yang Sah,819235173522.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,42. Pendapatan Transfer,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,421. Pendapatan Transfer Pemerintah Pusat,7377783366738.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,4. Pendapatan,43. Lain-Lain Pendapatan Daerah Yang Sah,43. Pendapatan Lainnya,431. Pendapatan Hibah,431. Pendapatan Hibah,3559354000.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,51. Belanja Pegawai,511. Belanja Pegawai,511. Belanja Pegawai,3110200922987.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,52. Belanja Barang Jasa,512. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,3424104356955.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,514. Belanja Subsidi,514. Belanja Subsidi,15041300000.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,515. Belanja Hibah,515. Belanja Hibah,682174430644.0
Provinsi Aceh,Provinsi Aceh,Sumatera,2023,Anggaran,5. Belanja,51. Belanja Operasi,54. Belanja Lainnya,516. Belanja Bantuan Sosial,516. Belanja Bantuan Sosial,245289144123.0
